EnsembleID	GeneSymbol/Users/jimmiinguyen/Downloads/GSE131671_LungBasal.coding.qn.txt	SJW-RNA_CRE-2	SJW-RNA_CRE-3	SJW-RNA_WT-1	SJW-RNA_WT-2	SJW-RNA_WT-3
ENSMUSG00000028180	Zranb2	47.55888333	39.15796667	54.08	52.8658	45.25906667
ENSMUSG00000028184	Lphn2	9.477885	9.683098333	15.00418333	11.31745	11.69955
ENSMUSG00000028187	Rpf1	11.11888333	12.78261667	9.964691667	11.5934	13.00161667
ENSMUSG00000028189	Ctbs	5.547976667	4.455376667	9.27321	5.704711667	4.139221667
ENSMUSG00000028188	Spata1	1.0150545	0.698136833	1.1366	0.9965775	1.142346667
ENSMUSG00000020755	Sap30bp	37.8268	46.55523333	18.89115	24.29918333	32.78318333
ENSMUSG00000020752	Recql5	11.77373333	10.13656833	7.6309	11.03073333	8.643818333
ENSMUSG00000020758	Itgb4	179.1775	130.5298333	101.6413333	244.5493333	249.8146667
ENSMUSG00000069833	Ahnak	267.3876667	236.9968333	279.676	306.9365	231.1463333
ENSMUSG00000033863	Klf9	26.84248333	21.6995	20.5371	20.6144	16.90236667
ENSMUSG00000069835	Sat2	2.611333333	2.838746667	1.664073333	2.045583333	2.507076667
ENSMUSG00000028233	Tgs1	16.35366667	13.7684	9.689745	14.38266667	12.0267
ENSMUSG00000028232	Tmem68	14.95766667	12.40711667	15.11533333	17.02165	15.2589
ENSMUSG00000028234	Rps20	418.4355	394.6121667	294.579	308.9573333	407.2128333
ENSMUSG00000044533	Rps2	322.779	423.0223333	405.5583333	312.7848333	494.3955
ENSMUSG00000027406	Idh3b	47.7188	52.25683333	63.16375	50.34151667	52.1299
ENSMUSG00000018209	Stk4	12.4297	12.58711667	14.39661667	12.2122	13.76003333
ENSMUSG00000006958	Chrd	0.776739833	0.957570167	1.08036	0.786049	0.6416215
ENSMUSG00000058569	Tmed9	99.89248333	105.6971667	96.31568333	106.9713333	105.4142667
ENSMUSG00000021583	Erap1	6.95583	6.747813333	14.95516667	8.754011667	7.850071667
ENSMUSG00000021585	Cast	69.57011667	67.19588333	97.50155	92.0913	83.6798
ENSMUSG00000021589	Rhobtb3	16.77516667	16.67786667	18.58036667	15.35255	16.36551667
ENSMUSG00000030881	Arfip2	24.10486667	25.26823333	22.18873333	22.86878333	23.7039
ENSMUSG00000026753	Ppp6c	12.534	17.72586667	14.96118333	14.02155	15.69623333
ENSMUSG00000026750	Psmb7	131.0641667	137.3218333	95.33688333	121.1116667	138.5216667
ENSMUSG00000026754	Golga1	14.08153333	12.45411667	13.78663333	14.73188333	10.99248333
ENSMUSG00000026755	Arpc5l	30.26653333	27.67211667	24.83436667	27.33215	29.61503333
ENSMUSG00000007338	Mrpl49	18.04593333	18.68983333	10.39041667	14.59658333	15.49015
ENSMUSG00000098557	KCTD12	0.893640167	1.153388333	11.37548333	2.241375	2.053301667
ENSMUSG00000010051	Hyal1	19.43311667	13.26103333	19.94788333	21.66453333	11.54876667
ENSMUSG00000029919	Hpgds	0.113615333	0.295311667	3.586551667	0.363769667	0.571196333
ENSMUSG00000029918	Mrps33	32.9287	30.10653333	25.31203333	28.73233333	30.15763333
ENSMUSG00000029916	Agk	7.136453333	6.855028333	4.110373333	6.134011667	6.5709
ENSMUSG00000029911	Ssbp1	28.34721667	25.50093333	20.46478333	26.4305	26.22461667
ENSMUSG00000029910	Mad2l1	30.12641667	40.00758333	16.42071667	22.16085	40.48278333
ENSMUSG00000029913	Prdm5	12.17915	11.96305	5.608441667	10.78655	9.420925
ENSMUSG00000006179	Prss16	0.382794333	1.4952	1.808895	1.394816667	1.582353333
ENSMUSG00000035273	Hpse	0.958646667	1.136145	5.228693333	1.176681667	1.690915
ENSMUSG00000043263	Pyhin1	10.09878667	3.846755	5.098913333	16.28718333	9.468356667
ENSMUSG00000043262	Uevld	11.14325	10.70285	14.76065	12.62928333	12.25858333
ENSMUSG00000026047	Kdelc1	15.92503333	13.94853333	12.80291667	16.45835	12.16273333
ENSMUSG00000035279	Ssc5d	3.204751667	2.404828333	0.5964495	1.833366667	1.831616667
ENSMUSG00000026843	Fubp3	28.65576667	26.98778333	21.18265	26.50718333	29.79361667
ENSMUSG00000034435	Tmem30b	11.71103333	7.370495	27.45683333	14.9461	9.921065
ENSMUSG00000034430	Zxdc	8.468241667	9.325	5.769496667	7.093986667	6.158478333
ENSMUSG00000034432	Cops8	22.00385	26.76163333	18.38836667	20.11393333	25.64418333
ENSMUSG00000053916	Nanp	4.914028333	4.1595	4.977836667	4.596433333	5.532706667
ENSMUSG00000017723	Wfdc2	970.5275	607.0358333	1335.983333	1004.067333	720.1548333
ENSMUSG00000017721	Pigt	31.23743333	29.93658333	35.48796667	30.15763333	31.52903333
ENSMUSG00000017724	Etv4	35.48796667	34.12708333	8.086576667	30.28685	35.86628333
